Metri_katror,Cmimi
114.9,160000
71.5,99000
114.49,148000
73.81,95000
86.1,145000
177.3,480000
82.79,88000
73.62,110000
127.1,229000
332.5,820000
209.5,390000
144.85,180000
158.42,395000
118.48,155000
72,120000
75.17,241000
100.52,322000
162.4,607000
98.9,145000
114.35,188000
123.6,230000
101.5,224000
199.7,278000
118.8,165000
75.4,113000
152.3,350000
108.6,158000
234.8,223600
139.86,294000
196,350000
78.7,158000
400,595000
101,230000
95.92,130000
155.5,311000
157.3,288000
117.52,214000
103.38,227000
140.7,324000
198.55,215000
73.59,96000
72.27,89000
74.96,135000
115.52,208000
151.32,182000
117,299000
132.75,160000
149.2,373000
101,176000
183.62,240000
98.05,103000
58.3,81500
102.7,154000
119.02,160000
130.1,139000
141.78,185000
320,350000
380,105000
95,120000
119,107000
141,240000
91.07,210000
155,385000
116.1,290000
102.9,190000
270,590000
188.2,750000
148,355200
219.96,325000
113,180000
121,170000
318.45,260000
112.7,300000
90.2,150000
217.22,469000
260,650000
85,102000
415.19,980000
248,250000
150,450000
170.38,250000
122,220000
107.34,322000
116.9,250000
175.12,240000
130,200000
216.45,299000
121.9,236000
127,417000
74.58,111000
190,475000
95,195000
132,150000
148,205000
221.8,700000
124,110000
75,90000
275,430000
146.4,315000
317,380000
146.5,264000
109.1,85000
292,450000
146,406000
290,320000
970.94,1329000
154,255000
414,870000
89,110000
112.7,280000
128,198000
110.64,177000
174,320000
220,440000
122,215000
150,300000
90,75000
210,450000
160,200000
555.83,2000000
108.65,270000
135,270000
90,140000
108,295000
93.2,250000
127,330000
311.04,570000
135,300000
280,336000
147,130000
145,300000
353.6,380000
96,240000
156.68,250000
140,280000
640,300000
160,500000
575,1300000
202,283000
140,300000
211.68,1100000
170,230000
244.9,300000
53.6,35000
107,74000
80.3,133000
131,150000
63.62,42000
129,180000
130,85000
160,144000
70,42000
145,160000
98.5,260000
109,289000
95.5,191000
83,166000
25.6,51200
40,80000
89.2,120000
162.1,130000
90,110000
73,175000
54,95000
215,140000
80.4,50000
